SVCAREAID,ADDR,WGSXPT,WGSYPT,QTY,UPDTDATE
중랑구,면목3.8동 15-39 (주택가 골목삼거리)_C-MM38-0041,37.5897,127.0985,1.0,2022-12-01
중랑구,면목3.8동 14-50(고정1)_C-MM38-0044-A,37.5877,127.0974,1.0,2022-12-01
중랑구,면목3.8동 14-18(보조2)_C-MM38-0007-2,37.5887,127.0976,1.0,2022-12-01
중랑구,면목3.8동 14-45 (고정1)_C-MM38-0069-A,37.5891,127.0975,1.0,2022-12-01
중랑구,면목3.8동 15-39(고정1)_C-MM38-0041-A,37.5897,127.0985,1.0,2022-12-01
중랑구,면목3.8동 14-50 (서일대정문앞 골목삼거리)_C-MM38-0044,37.5877,127.0974,1.0,2022-12-01
중랑구,면목3.8동 14-1 (새마을금고앞)_C-MM38-0007,37.5889,127.0980,1.0,2022-12-01
중랑구,면목3.8동 14-1(고정2)_C-MM38-0007-B,37.5889,127.0980,1.0,2022-12-01
중랑구,면목3.8동 14-1(고정3)_C-MM38-0007-C,37.5889,127.0980,1.0,2022-12-01
중랑구,면목3.8동 11-1(고정2)_C-MM38-0055-B,37.5889,127.1005,1.0,2022-12-01
중랑구,면목3.8동 1075-54 (보조2)_C-MM38-0022-2,37.5815,127.0948,1.0,2022-12-01
중랑구,면목3.8동 14-18(보조1)_C-MM38-0007-1,37.5887,127.0976,1.0,2022-12-01
중랑구,면목3.8동 11-1 (라이프미성APT 입구)_C-MM38-0055,37.5889,127.1005,1.0,2022-12-01
중랑구,면목3.8동 1075-15(골목길 담벼락 앞)_C-MM38-0076,37.5818,127.0962,1.0,2022-12-01
중랑구,면목3.8동 1075-15(보조1)_C-MM38-0076-1,37.5819,127.0961,1.0,2022-12-01
중랑구,면목3.8동 1075-54 (보조1)_C-MM38-0022-1,37.5815,127.0948,1.0,2022-12-01
중랑구,면목3.8동 1066-5(고정1)_C-MM38-0052-A,37.5820,127.0953,1.0,2022-12-01
중랑구,면목3.8동 1064-9(고정3)_C-MM38-0022-C,37.5819,127.0944,1.0,2022-12-01
중랑구,면목3.8동 1066-5 (면중초교 앞 주택가골목)_C-MM38-0052,37.5820,127.0953,1.0,2022-12-01
중랑구,면목3.8동 1077-1 (고정)_C-MM38-0067-A,37.5808,127.0950,1.0,2022-12-01
중랑구,면목3.8동 1064-9(고정1)_C-MM38-0022-A,37.5819,127.0944,1.0,2022-12-01
중랑구,면목3.8동 1-2(고정3)_C-MM38-0061-C,37.5893,127.1012,1.0,2022-12-01
중랑구,면목3.8동 10-9 (한주교회 앞)_C-MM38-0034,37.5884,127.1016,1.0,2022-12-01
중랑구,면목3.8동 10-9(고정1)_C-MM38-0034-A,37.5884,127.1016,1.0,2022-12-01
중랑구,면목3.8동 1-2(고정2)_C-MM38-0061-B,37.5893,127.1012,1.0,2022-12-01
중랑구,면목3.8동 31-25(고정1)_C-MM38-0053-A,37.5866,127.1011,1.0,2022-12-01
중랑구,면목3.8동 1077-1 (용마한산1차 가로등 옆)_C-MM38-0067,37.5808,127.0950,1.0,2022-12-01
중랑구,면목2동 193-57(고정2)_C-MM02-0015-B,37.5865,127.0765,1.0,2022-12-01
중랑구,면목2동 193-57(고정3)_C-MM02-0015-C,37.5865,127.0765,1.0,2022-12-01
중랑구,"면목3,8동 468-11 (용마산 손두부)_C-MM38-0037",37.5811,127.0926,1.0,2022-12-01
중랑구,면목2동 193-57(고정1)_C-MM02-0015-A,37.5865,127.0765,1.0,2022-12-01
중랑구,면목2동 193-1(고정2)_C-MM02-0046-B,37.5884,127.0766,1.0,2022-12-01
중랑구,면목2동 193-1(고정3)_C-MM02-0046-C,37.5884,127.0766,1.0,2022-12-01
중랑구,"면목3,8동 497-7 (유료주차장 입구)_C-MM38-0029",37.5822,127.0880,1.0,2022-12-01
중랑구,면목2동 193-57 (경희피아노앞)_C-MM02-0015,37.5865,127.0765,1.0,2022-12-01
중랑구,묵1동 175-3(고정3)_975,37.6122,127.0777,1.0,2022-12-01
중랑구,묵1동 175-3(고정2)_975,37.6122,127.0777,1.0,2022-12-01
