관리번호,위도,경도,지역구
올_21-47,37.518048,126.919435,영등포구
올_21-48,37.518254,126.918912,영등포구
올_21-49,37.518452,126.918423,영등포구
올_21-50,37.518698,126.917944,영등포구
올_21-51,37.516904,126.922019,영등포구
올_21-52,37.517125,126.921436,영등포구
올_21-53,37.517358,126.920802,영등포구
올_21-54,37.517595,126.9202,영등포구
올_21-55,37.517818,126.91959,영등포구
올_21-56,37.518022,126.919059,영등포구
올_21-57,37.518221,126.918567,영등포구
올_21-58,37.518455,126.918072,영등포구
올_21-59,37.51672,126.921865,영등포구
올_21-60,37.516911,126.92137,영등포구
올_21-61,37.517092,126.920897,영등포구
올_21-62,37.517246,126.920471,영등포구
올_21-63,37.517407,126.920034,영등포구
올_21-64,37.51758,126.919616,영등포구
올_21-65,37.517728,126.919186,영등포구
올_21-66,37.517901,126.91875,영등포구
올_21-67,37.518052,126.918347,영등포구
올_21-68,37.518211,126.917943,영등포구
올_21-69,37.516634,126.921553,영등포구
올_21-70,37.516826,126.921014,영등포구
올_21-71,37.516994,126.920566,영등포구
올_21-72,37.517151,126.920145,영등포구
올_21-73,37.51732,126.919697,영등포구
올_21-74,37.517494,126.919241,영등포구
올_21-75,37.517664,126.918801,영등포구
올_21-76,37.517826,126.918367,영등포구
올_21-77,37.517971,126.917993,영등포구
올_21-78,37.518105,126.917653,영등포구
올_21A-01,37.518515,126.9164,영등포구
올_21A-02,37.518291,126.916789,영등포구
올_21A-03,37.518098,126.917213,영등포구
올_21A-04,37.517971,126.917595,영등포구
올_21A-05,37.517849,126.918028,영등포구
올_21A-06,37.517773,126.918459,영등포구
올_21A-07,37.517763,126.918955,영등포구
올_21A-08,37.517749,126.919525,영등포구
올_21A-09,37.517762,126.920093,영등포구
올_21A-10,37.517721,126.920401,영등포구
올_21A-11,37.517583,126.920733,영등포구
올_21A-12,37.517463,126.92107,영등포구
올_21A-13,37.517347,126.921354,영등포구
올_21A-14,37.517235,126.921645,영등포구
올_21A-15,37.517106,126.92198,영등포구
올_22-01,37.515521,126.927871,동작구
올_22-02,37.515501,126.928106,동작구
올_22-03,37.515458,126.928461,동작구
올_22-04,37.515436,126.928916,동작구
올_22-05,37.51541,126.929435,동작구
올_22-06,37.515409,126.92993,동작구
올_22-07,37.515411,126.930417,동작구
올_22-08,37.515419,126.930923,동작구
올_22-09,37.515427,126.931414,동작구
올_22-10,37.515454,126.931913,동작구
올_22-11,37.515487,126.932366,동작구
